TYPE;NUM;PARENT_CODE;NAME;MEASURE_UNIT;UNIT_WEIGHT;ENERGY;FIBER;FAT;CARBOHYDRATE;PRICE
PREPARED;1061296;49995;Рис отварной п/ф;Килограммы;3000.00;;;0.00;0.00;0.00
DISH;1102100;54161;Рис с овощами (кукуруза/фасоль);Штуки;208.00;;;0.00;0.00;11.20
GOODS;1009704;49993;Розмарин;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;962257;49993;Салат Айсберг;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;1149499;48551;Салат Цезарь;Штуки;138.00;;;0.00;0.00;169.00
DISH;989409;51052;Салфетка вискоза;Штуки;0.00;;;0.00;0.00;0.00
GOODS;893499;46514;Салфетки;Штуки;0.00;;;0.00;0.00;0.00
GOODS;962269;49993;Сахар;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;893501;46514;Сахар в стиках 5г;Штуки;0.00;;;0.00;0.00;0.00
GOODS;974735;46512;Сахар ванильный;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1009691;49993;Сахарная пудра;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1020388;49993;Сельдерей сушеный;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;935254;48454;Сироп 10мл (11г);Штуки;10.00;;;0.00;0.00;7.00
DISH;1031735;48454;Сироп 20мл (22г);Штуки;20.00;;;0.00;0.00;14.00
DISH;935255;48454;Сироп 25мл (27г);Штуки;25.00;;;0.00;0.00;21.00
GOODS;893037;46512;Сироп в ассортименте;Литр;1000.00;;;0.00;0.00;0.00
DISH;1072856;51053;Сито 24 см. нерж с прутковой чукой;Штуки;0.00;;;0.00;0.00;0.00
DISH;1072851;51053;Сковорода нерж. D=30 см нерж;Штуки;0.00;;;0.00;0.00;0.00
DISH;935262;48454;Сливки 11% 50г;Штуки;1000.00;;;0.00;0.00;8.00
GOODS;893034;46512;Сливки 11% кофе;Литр;1000.00;;;0.00;0.00;0.00
